OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Region,City,ProductCategory,ProductSubCategory,ProductName,Quantity,UnitPrice,Discount,Sales,Profit,PaymentMode,ShipMode,Returned,CustomerSegment,SalesPerson,Rating,Month,Year,DeliveryDate,Feedback,Supplier,Country,CostPrice,Margin,Tax,product_key_match,item_id,short_description,link,width,height,depth,designer
O1024,2024-07-27,2024-07-27,CUST355,Michael Brown,Europe,Madrid,Storage,Wardrobes,BRIMNES Wardrobe,12.0,321.05,0.05,3659.97,1248.06,UPI,Same Day,No,Home Office,Sofia Karlsson,5.0,7.0,2024.0,2024-07-28,Excellent,IKEA Industry,Spain,205.1,34.09,439.19,BRIMNES,49278341.0,"        Bed frame w storage and headboard,          90x200 cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,96.0,110.0,54.0,IKEA of Sweden/K Hagberg/M Hagberg
O1025,2024-03-05,2024-03-09,CUST662,Lars Anderson,Oceania,Sydney,Furniture,Sofas,KIVIK Sofa,1.0,800,0.1,720.0,250.77,NetBanking,Second Class,No,Consumer,Juan Garcia,4.0,3.0,2024.0,2024-03-12,Positive,Local Supplier JP,Australia,420.0,34.83,49.23,KIVIK,79305512.0,        Chaise longue,https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/,90.0,83.0,163.0,Ola Wihlborg
O1026,2023-03-19,2023-03-23,CUST131,Kenji Tanaka,North America,Toronto,Storage,Shelving Unit,KALLAX Shelf,9.0,49.99,0.0,449.91,148.11,Credit Card,Standard Class,Yes,Corporate,Aya Sato,2.0,3.0,2023.0,2023-03-29,Neutral,Swedwood,Canada,30.0,32.92,41.79,KALLAX,20275814.0,"        Shelving unit,          77x77 cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/,77.0,77.0,39.0,Tord Björklund
O1027,2024-06-25,2024-06-26,CUST740,Jessica Lee,Asia,Tokyo,Kitchen,Appliances,LAGAN Fridge,2.0,600,0.2,960.0,225.07,PayPal,First Class,No,Home Office,Omar Hassan,5.0,6.0,2024.0,2024-06-27,Excellent,ABC Distributors,Japan,350.0,23.44,34.86,LAGAN,,,,,,,
O1028,2023-11-04,2023-11-04,CUST445,Priya Sharma,Europe,Munich,Textiles,Bedding,FÄLTSKÄR Sheet Set,7.0,45,0.0,315.0,126.96,UPI,Same Day,No,Consumer,Emily White,3.0,11.0,2023.0,2023-11-13,Positive,FurniMart,Germany,24.0,40.31,18.04,FÄLTSKÄR,,,,,,,
O1029,2024-09-01,2024-09-02,CUST168,Lars Anderson,Asia,Shanghai,Furniture,Tables,LACK Side Table,15.0,25,0.0,375.0,185.06,Cash,Second Class,No,Corporate,Rohit Kumar,5.0,9.0,2024.0,2024-09-08,Neutral,Swedwood,China,11.5,49.35,17.44,LACK,60282186.0,"        Wall shelf unit,          30x190 cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,30.0,190.0,28.0,C Halskov/H Dalsgaard
O1030,2023-07-15,2023-07-19,CUST521,David Chen,North America,New York,Storage,Wardrobes,PAX Wardrobe,1.0,999,0.05,949.05,390.43,NetBanking,Standard Class,No,Home Office,Anita Desai,4.0,7.0,2023.0,2023-07-25,Negative,IKEA Industry,USA,480.0,41.14,78.62,PAX,29385672.0,"        Wardrobe combination,          150x58x201 cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/,150.0,201.0,58.0,IKEA of Sweden/Ehlén Johansson
O1031,2024-05-10,2024-05-11,CUST883,Kenji Tanaka,Europe,London,Furniture,Chairs,MILLBERGET Swivel Chair,3.0,150,0.0,450.0,192.48,Credit Card,Same Day,No,Consumer,Karan Mehta,5.0,5.0,2024.0,2024-05-18,Excellent,Local Supplier JP,UK,80.0,42.77,34.52,MILLBERGET,90339412.0,        Swivel chair,https://www.ikea.com/sa/en/p/millberget-swivel-chair-bomstad-black-90339412/,,,65.0,Ola Wihlborg
O1032,2023-06-21,2023-06-26,CUST419,Fatima Al Marzooqi,Asia,Tokyo,Kitchen,Dinnerware,OFTAST Plate,10.0,1.49,0.0,14.9,4.86,UPI,First Class,No,Corporate,Sofia Karlsson,4.0,6.0,2023.0,2023-06-28,Positive,ABC Distributors,Japan,0.85,32.61,1.83,OFTAST,,,,,,,
O1033,2024-10-18,2024-10-23,CUST649,Michael Brown,Middle East,Dubai,Textiles,Rugs,VINDUM Rug,2.0,250,0.1,450.0,108.38,Cash,Standard Class,No,Home Office,Juan Garcia,1.0,10.0,2024.0,2024-10-27,Neutral,FurniMart,UAE,180.0,24.08,31.62,VINDUM,,,,,,,
O1034,2023-11-28,2023-12-03,CUST507,Jessica Lee,Oceania,Melbourne,Lighting,Lamps,HEKTAR Floor Lamp,5.0,780,0.0,3900.0,1335.78,PayPal,Second Class,No,Consumer,Aya Sato,5.0,11.0,2023.0,2023-12-07,Excellent,OfficeHub,Australia,420.0,34.25,453.72,HEKTAR,,,,,,,
O1035,2024-04-03,2024-04-06,CUST711,Lars Anderson,North America,Vancouver,Furniture,Sofas,GRÖNLID Sofa,1.0,650,0.2,520.0,148.4,UPI,Same Day,No,Corporate,Omar Hassan,3.0,4.0,2024.0,2024-04-07,Negative,IKEA Industry,Canada,350.0,28.54,21.6,GRÖNLID,29278101.0,        2-seat sofa-bed,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/,196.0,104.0,98.0,IKEA of Sweden/Francis Cayouette/Ehlén Johansson
O1036,2023-09-17,2023-09-19,CUST910,John Smith,Europe,Berlin,Storage,Shelving Unit,KALLAX Shelf,8.0,45.99,0.0,367.92,146.47,NetBanking,First Class,Yes,Home Office,Emily White,4.0,9.0,2023.0,2023-09-21,Positive,Swedwood,Germany,25.0,39.81,31.75,KALLAX,20275814.0,"        Shelving unit,          77x77 cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/,77.0,77.0,39.0,Tord Björklund
O1037,2024-07-02,2024-07-06,CUST112,Priya Sharma,Asia,Mumbai,Kitchen,Dinnerware,FÄRGRIK Bowl,14.0,1.89,0.1,23.81,10.15,Credit Card,Standard Class,No,Consumer,Rohit Kumar,5.0,7.0,2024.0,2024-07-12,Excellent,ABC Distributors,India,1.1,42.63,3.51,FÄRGRIK,,,,,,,
O1038,2023-01-08,2023-01-13,CUST440,Michael Brown,Middle East,Dubai,Textiles,Bedding,GULLKLOCKA Duvet,3.0,55,0.0,165.0,13.9,PayPal,Second Class,No,Corporate,Anita Desai,2.0,1.0,2023.0,2023-01-18,Neutral,FurniMart,UAE,75.0,8.42,3.1,GULLKLOCKA,,,,,,,
O1039,2024-10-29,2024-11-03,CUST881,Jessica Lee,North America,New York,Lighting,Lamps,FADO Table Lamp,4.0,22,0.1,79.2,37.0,UPI,Standard Class,Yes,Home Office,Karan Mehta,4.0,10.0,2024.0,2024-11-08,Negative,OfficeHub,USA,10.0,46.72,4.8,FADO,,,,,,,
O1040,2023-08-20,2023-08-25,CUST210,Maria Rodriguez,Europe,Madrid,Furniture,Tables,LINNMON/ADILS Desk,2.0,260.12,0.0,520.24,211.83,NetBanking,Same Day,No,Consumer,Sofia Karlsson,5.0,8.0,2023.0,2023-08-25,Positive,IKEA Industry,Spain,137.91,40.72,29.77,LINNMON/ADILS,,,,,,,
O1041,2024-02-29,2024-03-05,CUST617,Kenji Tanaka,Asia,Shanghai,Storage,Shelving Unit,BILLY Bookcase,1.0,271.04,0.0,271.04,115.68,Credit Card,Second Class,No,Corporate,Juan Garcia,3.0,2.0,2024.0,2024-03-09,Excellent,Local Supplier JP,China,153.38,42.68,2.08,BILLY,263850.0,"        Bookcase,          80x28x202 cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/,80.0,202.0,28.0,Gillis Lundgren
O1042,2023-05-23,2023-05-28,CUST250,David Chen,North America,Toronto,Kitchen,Appliances,TILLREDA Portable Induction Hob,3.0,957.28,0.05,2727.35,1045.05,PayPal,Standard Class,No,Home Office,Aya Sato,5.0,5.0,2023.0,2023-06-02,Excellent,ABC Distributors,Canada,507.99,38.32,209.28,TILLREDA,,,,,,,
O1043,2024-09-22,2024-09-27,CUST300,Emily White,Europe,London,Textiles,Bedding,FÄLTSKÄR Sheet Set,6.0,993.45,0.0,5960.7,2038.54,UPI,Second Class,Yes,Consumer,Omar Hassan,4.0,9.0,2024.0,2024-10-02,Positive,FurniMart,UK,504.6,34.19,573.56,FÄLTSKÄR,,,,,,,
O1044,2023-03-12,2023-03-17,CUST909,John Smith,Asia,Tokyo,Furniture,Chairs,ADDE Chair,14.0,11.2,0.2,125.44,53.64,Cash,First Class,No,Corporate,Emily White,2.0,3.0,2023.0,2023-03-22,Neutral,OfficeHub,Japan,5.92,42.76,12.08,ADDE,10219178.0,        Chair,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,39.0,77.0,47.0,Marcus Arvonen
O1045,2024-12-05,2024-12-10,CUST444,Michael Brown,North America,Chicago,Lighting,Lamps,HEKTAR Floor Lamp,5.0,930.56,0.1,4187.52,1435.37,NetBanking,Same Day,No,Home Office,Rohit Kumar,5.0,12.0,2024.0,2024-12-10,Excellent,IKEA Industry,USA,529.62,34.28,397.63,HEKTAR,,,,,,,
O1046,2023-07-28,2023-08-01,CUST666,Maria Rodriguez,Europe,Barcelona,Storage,Wardrobes,BRIMNES Wardrobe,12.0,321.05,0.0,3852.6,1177.67,Credit Card,Standard Class,No,Consumer,Anita Desai,4.0,7.0,2023.0,2023-08-05,Positive,Swedwood,Spain,205.1,30.57,373.93,BRIMNES,49278341.0,"        Bed frame w storage and headboard,          90x200 cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,96.0,110.0,54.0,IKEA of Sweden/K Hagberg/M Hagberg
O1047,2024-01-01,2024-01-05,CUST222,Kenji Tanaka,Oceania,Sydney,Furniture,Sofas,KLIPPAN Loveseat,3.0,773.41,0.3,1624.16,650.15,PayPal,Second Class,Yes,Corporate,Karan Mehta,3.0,1.0,2024.0,2024-01-06,Neutral,Local Supplier JP,Australia,585.16,40.03,100.08,KLIPPAN,9251777.0,        2-seat sofa,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/,180.0,66.0,88.0,IKEA of Sweden
O1048,2023-04-05,2023-04-09,CUST111,Fatima Al Marzooqi,North America,Toronto,Storage,Shelving Unit,HEMNES Storage,10.0,86.99,0.1,782.91,302.24,UPI,Standard Class,No,Home Office,Sofia Karlsson,5.0,4.0,2023.0,2023-04-15,Excellent,ABC Distributors,Canada,50.04,38.6,50.23,HEMNES,89931560.0,"        Bed frame,          140x200 cm",https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,154.0,,,IKEA of Sweden/Carina Bengs
O1049,2024-06-19,2024-06-21,CUST777,David Chen,Asia,Mumbai,Kitchen,Dinnerware,FÄRGRIK Bowl,15.0,1.89,0.0,28.35,9.04,Cash,First Class,No,Consumer,Juan Garcia,4.0,6.0,2024.0,2024-06-27,Negative,FurniMart,India,1.1,31.89,4.91,FÄRGRIK,,,,,,,
O1050,2023-11-09,2023-11-13,CUST999,Emily White,Europe,Munich,Textiles,Rugs,STOENSE Rug,7.0,140.91,0.0,986.37,407.95,NetBanking,Second Class,No,Corporate,Aya Sato,5.0,11.0,2023.0,2023-11-19,Positive,OfficeHub,Germany,93.24,41.36,117.87,STOENSE,,,,,,,
O1051,2024-03-01,2024-03-02,CUST550,John Smith,North America,New York,Lighting,Lamps,LERSTA Floor Lamp,9.0,5.99,0.0,53.91,22.02,Credit Card,Same Day,No,Home Office,Omar Hassan,3.0,3.0,2024.0,2024-03-05,Neutral,IKEA Industry,USA,3.35,40.85,5.46,LERSTA,,,,,,,
O1052,2023-06-06,2023-06-11,CUST880,Maria Rodriguez,Asia,Tokyo,Furniture,Tables,INGATORP Dining Table,1.0,546.04,0.1,491.44,129.56,PayPal,Standard Class,Yes,Consumer,Emily White,4.0,6.0,2023.0,2023-06-16,Excellent,Swedwood,Japan,342.14,26.36,19.74,INGATORP,29917307.0,"        Table and 4 chairs,          155 cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/,87.0,74.0,,Carina Bengs
O1053,2024-10-14,2024-10-15,CUST777,Kenji Tanaka,Europe,Barcelona,Kitchen,Appliances,LAGAN Fridge,2.0,600,0.0,1200.0,499.71,UPI,First Class,No,Corporate,Rohit Kumar,5.0,10.0,2024.0,2024-10-18,Positive,Local Supplier JP,Spain,350.0,41.64,50.29,LAGAN,,,,,,,
O1054,2023-01-20,2023-01-21,CUST610,Fatima Al Marzooqi,Middle East,Dubai,Textiles,Bedding,GULLKLOCKA Duvet,5.0,55,0.05,261.25,7.97,NetBanking,Same Day,No,Home Office,Anita Desai,1.0,1.0,2023.0,2023-01-22,Negative,ABC Distributors,UAE,75.0,3.05,16.28,GULLKLOCKA,,,,,,,
O1055,2024-04-12,2024-04-17,CUST240,David Chen,North America,Los Angeles,Lighting,Lamps,HEKTAR Floor Lamp,6.0,930.56,0.0,5583.36,1902.94,Credit Card,Standard Class,No,Consumer,Karan Mehta,5.0,4.0,2024.0,2024-04-22,Excellent,FurniMart,USA,529.62,34.08,572.28,HEKTAR,,,,,,,
O1056,2023-08-07,2023-08-12,CUST130,Emily White,Europe,London,Furniture,Sofas,KIVIK Sofa,1.0,799,0.3,559.3,192.83,PayPal,Second Class,No,Corporate,Sofia Karlsson,4.0,8.0,2023.0,2023-08-17,Positive,OfficeHub,UK,450.0,34.48,16.47,KIVIK,79305512.0,        Chaise longue,https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/,90.0,83.0,163.0,Ola Wihlborg
O1057,2024-02-19,2024-02-24,CUST888,John Smith,Asia,Delhi,Storage,Shelving Unit,KALLAX Shelf,10.0,49.99,0.05,474.91,207.13,UPI,Standard Class,Yes,Home Office,Juan Garcia,3.0,2.0,2024.0,2024-02-28,Neutral,IKEA Industry,India,30.0,43.62,57.78,KALLAX,20275814.0,"        Shelving unit,          77x77 cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/,77.0,77.0,39.0,Tord Björklund
O1058,2023-03-29,2023-03-30,CUST401,Priya Sharma,North America,Vancouver,Furniture,Chairs,MILLBERGET Swivel Chair,5.0,150,0.0,750.0,239.31,NetBanking,Same Day,No,Consumer,Aya Sato,5.0,3.0,2023.0,2023-04-03,Negative,Swedwood,Canada,80.0,31.91,70.69,MILLBERGET,90339412.0,        Swivel chair,https://www.ikea.com/sa/en/p/millberget-swivel-chair-bomstad-black-90339412/,,,65.0,Ola Wihlborg
O1059,2024-05-15,2024-05-17,CUST555,Michael Brown,Europe,Munich,Lighting,Lamps,LERSTA Floor Lamp,7.0,5.99,0.2,33.55,13.91,Credit Card,First Class,No,Corporate,Omar Hassan,4.0,5.0,2024.0,2024-05-22,Excellent,Local Supplier JP,Germany,3.35,41.46,3.23,LERSTA,,,,,,,
O1060,2023-10-24,2023-10-29,CUST333,Jessica Lee,Asia,Tokyo,Textiles,Bedding,GULLKLOCKA Duvet,2.0,59.99,0.0,119.98,18.06,PayPal,Standard Class,No,Home Office,Emily White,5.0,10.0,2023.0,2023-11-03,Positive,ABC Distributors,Japan,42.0,15.05,17.92,GULLKLOCKA,,,,,,,
O1061,2024-08-02,2024-08-03,CUST101,Lars Anderson,North America,Chicago,Furniture,Tables,LACK Side Table,13.0,25,0.0,325.0,150.84,UPI,Same Day,No,Consumer,Rohit Kumar,4.0,8.0,2024.0,2024-08-04,Neutral,FurniMart,USA,11.5,46.41,16.16,LACK,60282186.0,"        Wall shelf unit,          30x190 cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,30.0,190.0,28.0,C Halskov/H Dalsgaard
O1062,2023-12-10,2023-12-15,CUST790,Maria Rodriguez,Europe,Madrid,Storage,Wardrobes,PAX Wardrobe,4.0,737.91,0.05,2804.06,772.48,NetBanking,Second Class,No,Corporate,Anita Desai,5.0,12.0,2023.0,2023-12-20,Negative,OfficeHub,Spain,432.22,27.55,282.9,PAX,29385672.0,"        Wardrobe combination,          150x58x201 cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/,150.0,201.0,58.0,IKEA of Sweden/Ehlén Johansson
O1063,2024-06-03,2024-06-08,CUST444,Kenji Tanaka,Asia,Mumbai,Kitchen,Dinnerware,OFTAST Plate,11.0,1.49,0.0,16.39,5.09,Credit Card,Standard Class,Yes,Home Office,Karan Mehta,2.0,6.0,2024.0,2024-06-13,Excellent,IKEA Industry,India,0.85,31.06,2.05,OFTAST,,,,,,,
O1064,2023-01-18,2023-01-20,CUST550,Fatima Al Marzooqi,Oceania,Sydney,Textiles,Rugs,VINDUM Rug,2.0,250,0.0,500.0,126.24,PayPal,First Class,No,Consumer,Sofia Karlsson,5.0,1.0,2023.0,2023-01-27,Positive,Swedwood,Australia,180.0,25.25,13.76,VINDUM,,,,,,,
O1065,2024-11-25,2024-11-28,CUST662,David Chen,North America,Toronto,Lighting,Lamps,FADO Table Lamp,10.0,22,0.0,220.0,97.55,UPI,Same Day,No,Corporate,Juan Garcia,4.0,11.0,2024.0,2024-11-28,Neutral,Local Supplier JP,Canada,10.0,44.34,25.45,FADO,,,,,,,
O1066,2023-05-07,2023-05-09,CUST777,Emily White,Europe,Berlin,Furniture,Sofas,GRÖNLID Sofa,1.0,650,0.1,585.0,196.26,NetBanking,Second Class,No,Home Office,Aya Sato,3.0,5.0,2023.0,2023-05-13,Negative,ABC Distributors,Germany,350.0,33.55,38.74,GRÖNLID,29278101.0,        2-seat sofa-bed,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/,196.0,104.0,98.0,IKEA of Sweden/Francis Cayouette/Ehlén Johansson
